name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate
Laie Hawaii Temple,"Laie, Hawaii, United States",OPERATING,"November 27, 1919",1,laie-hawaii-temple,Laie, Hawaii, United States,"November 27, 1919"
Johannesburg South Africa Temple,"Johannesburg, Gauteng, South Africa",OPERATING,"August 24, 1985",2,johannesburg-south-africa-temple,Johannesburg, Gauteng, South Africa,"August 24, 1985"
Logan Utah Temple,"Logan, Utah, United States",OPERATING,"May 17, 1884",3,logan-utah-temple,Logan, Utah, United States,"May 17, 1884"
Las Vegas Nevada Temple,"Las Vegas, Nevada, United States",OPERATING,"December 16, 1989",4,las-vegas-nevada-temple,Las Vegas, Nevada, United States,"December 16, 1989"
Mexico City Mexico Temple,"México, Distrito Federal, Mexico",OPERATING,"December 2, 1983",5,mexico-city-mexico-temple,México, Distrito Federal, Mexico,"December 2, 1983"
Ogden Utah Temple,"Ogden, Utah, United States",OPERATING,"January 18, 1972",6,ogden-utah-temple,Ogden, Utah, United States,"January 18, 1972"
Orlando Florida Temple,"Windermere, Florida, United States",RENOVATION,Renovation,7,orlando-florida-temple,Windermere, Florida, United States,
Provo Utah Rock Canyon Temple,"Provo, Utah, United States",RENOVATION,Renovation,8,provo-utah-rock-canyon-temple,Provo, Utah, United States,
Sydney Australia Temple,"Carlingford, New South Wales, Australia",OPERATING,"September 20, 1984",9,sydney-australia-temple,Carlingford, New South Wales, Australia,"September 20, 1984"
St. George Utah Temple,"St. George, Utah, United States",OPERATING,"April 6, 1877",10,st.-george-utah-temple,St. George, Utah, United States,"April 6, 1877"
São Paulo Brazil Temple,"São Paulo, Sao Paulo, Brazil",OPERATING,"October 30, 1978",11,sao-paulo-brazil-temple,São Paulo, Sao Paulo, Brazil,"October 30, 1978"
Nuku'alofa Tonga Temple,"Liahona, Tongatapu, Tonga",OPERATING,"August 9, 1983",12,nuku'alofa-tonga-temple,Liahona, Tongatapu, Tonga,"August 9, 1983"
Nashville Tennessee Temple,"Franklin, Tennessee, United States",OPERATING,"May 21, 2000",13,nashville-tennessee-temple,Franklin, Tennessee, United States,"May 21, 2000"
Papeete Tahiti Temple,"Papeete, Tahiti, French Polynesia",OPERATING,"October 27, 1983",14,papeete-tahiti-temple,Papeete, Tahiti, French Polynesia,"October 27, 1983"
Tokyo Japan Temple,"Minato-ku, Tokyo, Japan",OPERATING,"October 27, 1980",15,tokyo-japan-temple,Minato-ku, Tokyo, Japan,"October 27, 1980"
Vernal Utah Temple,"Vernal, Utah, United States",OPERATING,"November 2, 1997",16,vernal-utah-temple,Vernal, Utah, United States,"November 2, 1997"
Boston Massachusetts Temple,"Belmont, Massachusetts, United States",OPERATING,"October 1, 2000",17,boston-massachusetts-temple,Belmont, Massachusetts, United States,"October 1, 2000"
Antofagasta Chile Temple,"Antofagasta, Chile",OPERATING,"June 15, 2025",4119596,antofagasta-chile-temple,Antofagasta,, Chile,"June 15, 2025"
Mount Timpanogos Utah Temple,"American Fork, Utah, United States",OPERATING,"October 13, 1996",18,mount-timpanogos-utah-temple,American Fork, Utah, United States,"October 13, 1996"
Budapest Hungary Temple,Hungary,CONSTRUCTION,Construction,4119597,budapest-hungary-temple,,,,
Preston England Temple,"Chorley, Lancashire, England",OPERATING,"June 7, 1998",19,preston-england-temple,Chorley, Lancashire, England,"June 7, 1998"
Moses Lake Washington Temple,"Moses Lake, Washington, United States",OPERATING,"September 17, 2023",4119594,moses-lake-washington-temple,Moses Lake, Washington, United States,"September 17, 2023"
St. Louis Missouri Temple,"St. Louis, Missouri, United States",OPERATING,"June 1, 1997",20,st.-louis-missouri-temple,St. Louis, Missouri, United States,"June 1, 1997"
Cardston Alberta Temple,"Cardston, Alberta, Canada",OPERATING,"August 26, 1923",21,cardston-alberta-temple,Cardston, Alberta, Canada,"August 26, 1923"
San Pedro Sula Honduras Temple,"San Pedro Sula, Honduras",OPERATING,"October 13, 2024",4119595,san-pedro-sula-honduras-temple,San Pedro Sula,, Honduras,"October 13, 2024"
Mesa Arizona Temple,"Mesa, Arizona, United States",OPERATING,"October 23, 1927",22,mesa-arizona-temple,Mesa, Arizona, United States,"October 23, 1927"
Neiafu Tonga Temple,"Neiafu Vava’u, Tonga",CONSTRUCTION,Construction,4119592,neiafu-tonga-temple,Neiafu Vava’u,, Tonga,
Boise Idaho Temple,"Boise, Idaho, United States",OPERATING,"May 25, 1984",23,boise-idaho-temple,Boise, Idaho, United States,"May 25, 1984"
Deseret Peak Utah Temple,"Tooele, Utah, United States",OPERATING,"November 10, 2024",4119593,deseret-peak-utah-temple,Tooele, Utah, United States,"November 10, 2024"
Chicago Illinois Temple,"Glenview, Illinois, United States",OPERATING,"August 9, 1985",24,chicago-illinois-temple,Glenview, Illinois, United States,"August 9, 1985"
Kansas City Missouri Temple,"Kansas City, Missouri, United States",OPERATING,"May 6, 2012",4005413,kansas-city-missouri-temple,Kansas City, Missouri, United States,"May 6, 2012"
Pago Pago American Samoa Temple,"Tafuna, Western District, American Samoa",CONSTRUCTION,Construction,4119590,pago-pago-american-samoa-temple,Tafuna, Western District, American Samoa,
Córdoba Argentina Temple,"Córdoba, Argentina",OPERATING,"May 17, 2015",4005412,cordoba-argentina-temple,Córdoba,, Argentina,"May 17, 2015"
Denver Colorado Temple,"Centennial, Colorado, United States",OPERATING,"October 24, 1986",25,denver-colorado-temple,Centennial, Colorado, United States,"October 24, 1986"
Okinawa Japan Temple,"Okinawa, Japan",OPERATING,"November 12, 2023",4119591,okinawa-japan-temple,Okinawa,, Japan,"November 12, 2023"
Frankfurt Germany Temple,"Friedrichsdorf, Hessen, Germany",OPERATING,"August 28, 1987",26,frankfurt-germany-temple,Friedrichsdorf, Hessen, Germany,"August 28, 1987"
Rome Italy Temple,"Rome, Roma, Italy",OPERATING,"March 10, 2019",4005415,rome-italy-temple,Rome, Roma, Italy,"March 10, 2019"
Madrid Spain Temple,"Madrid, Madrid, Spain",OPERATING,"March 19, 1999",27,madrid-spain-temple,Madrid, Madrid, Spain,"March 19, 1999"
Philadelphia Pennsylvania Temple,"Philadelphia, Pennsylvania, United States",OPERATING,"September 18, 2016",4005414,philadelphia-pennsylvania-temple,Philadelphia, Pennsylvania, United States,"September 18, 2016"
Apia Samoa Temple,"Apia, Pesega, Samoa",OPERATING,"August 5, 1983",28,apia-samoa-temple,Apia, Pesega, Samoa,"August 5, 1983"
Tuxtla Gutiérrez Mexico Temple,"Tuxtla Gutiérrez, Chiapas, Mexico",OPERATING,"March 12, 2000",37916,tuxtla-gutierrez-mexico-temple,Tuxtla Gutiérrez, Chiapas, Mexico,"March 12, 2000"
Atlanta Georgia Temple,"Sandy Springs, Georgia, United States",OPERATING,"June 1, 1983",29,atlanta-georgia-temple,Sandy Springs, Georgia, United States,"June 1, 1983"
Buenos Aires Argentina Temple,"Ciudad Evita, Buenos Aires, Argentina",OPERATING,"January 17, 1986",30,buenos-aires-argentina-temple,Ciudad Evita, Buenos Aires, Argentina,"January 17, 1986"
Calgary Alberta Temple,"Calgary, Alberta, Canada",OPERATING,"October 28, 2012",4005411,calgary-alberta-temple,Calgary, Alberta, Canada,"October 28, 2012"
Bogotá Colombia Temple,"Bogotá, Distrito Capital, Colombia",OPERATING,"April 24, 1999",31,bogota-colombia-temple,Bogotá, Distrito Capital, Colombia,"April 24, 1999"
Bountiful Utah Temple,"Bountiful, Utah, United States",OPERATING,"January 8, 1995",32,bountiful-utah-temple,Bountiful, Utah, United States,"January 8, 1995"
